name_norm,Категория
зубная щетка  зиг заг многофункциональная древесным углем средней жесткости синяя,"Красота, гигиена, бытовая химия"
стиральный порошок профессионал автомат белого белья,Товары для дома и дачи
сырок глазированный молоком сгущенным вареным,"Молоко, сыр, яйца"
подгузники    микро,Товары для мам и детей
ручка автомат гелевая черный,Другое
паштет  гусиной печенью,"Птица, мясо, деликатесы"
зубная паста   вкусом клубники без фтора детей лет,Товары для мам и детей
шапка банная главбаня принт  войлок,Дача и гриль
"семена монарда ""панорама"" смесь",Товары для дома и дачи
молоко утп тва,"Молоко, сыр, яйца"
карандаш автоматический пластиковый прозрачный корпус пакетике подвесом,Другое
краска   аэрозольная коричнево шоколадная,Товары для дома и дачи
пюре яблок детей месяцев,Товары для мам и детей
средство чистящее ванной туалета  грейпфрут,"Красота, гигиена, бытовая химия"
насадка   запасная ,"Красота, гигиена, бытовая химия"
кисломолочный продукт  земляника шиповник,"Молоко, сыр, яйца"
"маска лица     ""ультралифтинг""","Красота, гигиена, бытовая химия"
стул   голубой,Товары для дома и дачи
ароматизатор воздуха   персик,Другое
тилапия филе пак,"Рыба, икра"
"бедро ""петелинка"" цыпленка бройлера без кости без кожи охлажденное","Птица, мясо, деликатесы"
ручки   капиллярные,Другое
книжка раскраска наклейками большие гонки,Товары для мам и детей
стиральный порошок    ,"Красота, гигиена, бытовая химия"
готовый завтрак  подушечки шоколадные,"Макароны, крупы, специи"
маска лица  альгинантная подтягивающая,"Красота, гигиена, бытовая химия"
"шоколад   темный ""дед мороз глазами""","Хлеб, сладости, снеки"
вино мукузани красное сухое,Алкоголь
лосьон    после бритья,"Красота, гигиена, бытовая химия"
приправа моркови острая,"Макароны, крупы, специи"
"батончик   овсяно фруктовый  ""банан яблоко""","Соусы, орехи, консервы"
"набор вилок столовых  """"",Товары для дома и дачи
вино саперави красное сухое,Алкоголь
набор инструментов комнатных ений   малый металл древесина,Товары для дома и дачи
"корм взрослых кошек ""рыбный фестиваль"" лососем форелью креветками",Зоотовары
колбаса сервелат элитный колбаса фибр,"Птица, мясо, деликатесы"
приправа гном укроп,"Макароны, крупы, специи"
стаканы  коктейля,Товары для дома и дачи
очиститель  нагара,"Красота, гигиена, бытовая химия"
вино    гран пассьоне россо красное полусухое,Алкоголь
"конфеты шоколадные коробке ""морозная ежевика""","Хлеб, сладости, снеки"
"ирис ""азовская кф""  глазированный","Хлеб, сладости, снеки"
салатник  фарфор,Товары для дома и дачи
ошейник супер блох клещей собак,Зоотовары
георгин  галлерея,Товары для дома и дачи
вешалка крючками настенная чайники,"Красота, гигиена, бытовая химия"
соломка сладкая маком,"Хлеб, сладости, снеки"
напиток  мультивитамины ягодный микс,"Молоко, сыр, яйца"
тушь '     ресниц экстрачерная,"Красота, гигиена, бытовая химия"
тунец кусочками собственном соку,"Соусы, орехи, консервы"
ополаскиватель полости рта   чувствительной эмали,"Красота, гигиена, бытовая химия"
мыло жидкое антибактериальным эффектом  увлажняющее алоэ вера,"Красота, гигиена, бытовая химия"
напиток чайный травяной липа,"Чай, кофе, сахар"
йогуртный продукт  сливочное лакомство клубника,"Молоко, сыр, яйца"
крекер рыбки,"Хлеб, сладости, снеки"
паста  моделирования отвердевающая терракотовая,Товары для мам и детей
сливки стерил пармалат,"Молоко, сыр, яйца"
нектар уголки россии фруктово ягодный,"Воды, соки, напитки"
пюре халяль говядины месяцев,Товары для мам и детей
корм мнямс  стерилизованных кошек сухой индейкой,Зоотовары
творог двухслойный клубникой,"Молоко, сыр, яйца"
расческа  волос остроконечной ручкой,"Красота, гигиена, бытовая химия"
"блинчики пылу жару"" мясом",Замороженные продукты
крем краска кожаных курток  черный,"Красота, гигиена, бытовая химия"
горшок цветов    розовый сад,Товары для дома и дачи
кетчуп по грузински бер,"Соусы, орехи, консервы"
дезодорант женский  энергия твоего дня спрей,"Красота, гигиена, бытовая химия"
овощечистка   ,Посуда
свекла очищенная,Подборки и готовые блюда
йогурт вязкий банан,Товары для мам и детей
виски     подарочной упаковке бокалом,Алкоголь
кпб славянский текстиль  бязь,Товары для дома и дачи
кофе  '   молотый,"Чай, кофе, сахар"
зубная щетка   экстра мягкая,"Красота, гигиена, бытовая химия"
брызговик универсальный,Другое
каша бибикаша овсяная козьем молоке,Товары для мам и детей
сыр башкирский медовый,"Молоко, сыр, яйца"
сыр выдержанный рецепт,"Молоко, сыр, яйца"
мороженое миндаль шоколад,"Молоко, сыр, яйца"
средство мытья посуды    посудомоечных машин таблетки,"Красота, гигиена, бытовая химия"
туалетная бумага знак белая,"Красота, гигиена, бытовая химия"
каша молочная овсяная грушей бананом месяцев,Товары для мам и детей
кукла   зайка позаботься обо мне,Товары для мам и детей
конфитюр  груша экстра,"Хлеб, сладости, снеки"
колбаски пикантные паприкой,"Птица, мясо, деликатесы"
соль   ванн,"Красота, гигиена, бытовая химия"
тоник лица  мятный чай жирной проблемной кожи,"Красота, гигиена, бытовая химия"
"набор творчества   ""набор принцессы"" деталей",Товары для мам и детей
корм кошек  индейка бекон соусе,Зоотовары
очиститель  стиральных машин,Товары для дома и дачи
чай фенхель пак,Товары для мам и детей
торт  карузель мини замороженный,"Хлеб, сладости, снеки"
риет скумбрии черносливом,"Рыба, икра"
матирующий гель умывания  жирной кожи,"Красота, гигиена, бытовая химия"
"чай  черный "" ""","Чай, кофе, сахар"
кассеты   бритвенного станка,"Хлеб, сладости, снеки"
колбаски шашлычные охлажденные,"Птица, мясо, деликатесы"
шоколад темный   мята,"Хлеб, сладости, снеки"
"смесь ""серый хлеб"" без глютена","Соусы, орехи, консервы"
горчица  дижонская острая,"Макароны, крупы, специи"
мицеллярная вода лица век губ очищение уход,"Красота, гигиена, бытовая химия"
колбаса салями миланская,"Птица, мясо, деликатесы"
"пюре овощное сливками ""овощной крем суп тыквы картофеля моркови""",Товары для мам и детей
краска  универсальная белая,Товары для дома и дачи
рис   ризотто шлифованный,"Макароны, крупы, специи"
сухари классические московские маковые,"Хлеб, сладости, снеки"
капуста брокколи  соцветиями быстрозамороженная,"Овощи, фрукты, ягоды"
"""росмэн"" планета земля детская энциклопедия",Товары для мам и детей
жевательная резинка сладкая мята без сахара,"Хлеб, сладости, снеки"
коньяк  курвуазье всоп подарочной упаковке,Алкоголь
мюсли  орех яблоко,"Макароны, крупы, специи"
коктейль вкусом попкорн,Товары для мам и детей
"печенье ""из"" сдобное орехово миндальное","Хлеб, сладости, снеки"
кофе    молотый капсулах,"Чай, кофе, сахар"
лимонад  дюшес,"Воды, соки, напитки"
сосиски баварские натуральной оболочке,"Птица, мясо, деликатесы"
герметик гермент санитарный,Товары для дома и дачи
книга шелдон  ничто вечно,Другое
печенье овсяное злаков,"Хлеб, сладости, снеки"
хлеб коломенский край зерновой,"Хлеб, сладости, снеки"
корм кошек    рагу курицей,Зоотовары
каша  безмолочная гречневая низкоаллергенная обогащенная пребиотиками месяцев,Товары для мам и детей
трусики подгузники софт,Товары для мам и детей
килька балтийская пряного посола рижская,"Рыба, икра"
пельмени мраморной говядины,Замороженные продукты
сковорода нева металл антипригарным покрытием литая,Товары для дома и дачи
колбаски телятины чиполетти черносливом розовая телятина,"Птица, мясо, деликатесы"
тональный крем   матовая кожа невидимые поры натурально бежевый,"Красота, гигиена, бытовая химия"
шампунь  волос укрепляющий,"Красота, гигиена, бытовая химия"
"напиток ""фрутмотив"" ягодный микс","Воды, соки, напитки"
зубная паста   цитрусовый,"Красота, гигиена, бытовая химия"
коньяк реми мартин,Алкоголь
"ветчина ""папа может"" свинины","Птица, мясо, деликатесы"
"чипсы ""русская картошка"" картофельные вкусом сметаны лука","Соусы, орехи, консервы"
игровой набор  волшебные балерины,Товары для мам и детей
шампунь щенков   без слез кератином,Зоотовары
виши  увлажняющий спрей термальная вода подарок,"Красота, гигиена, бытовая химия"
пюре цыпленка говядиныдля детей  ти месяцев,Товары для мам и детей
колбаса орье по орски,"Птица, мясо, деликатесы"
приправа гном универсальная мяса,"Макароны, крупы, специи"
лакомство собак  кишки говяжьи,Зоотовары
"чай  чёрный листовой лепестками розы барбарисом ""мелодия рождества""","Чай, кофе, сахар"
гель душа  ,"Красота, гигиена, бытовая химия"
"пенка умывания    ""абсорбирующая"" глубоко очищающая","Красота, гигиена, бытовая химия"
книга ремарк эксклюзивклассика тени раю,Другое
пустышка  анатомическая силиконовая  ,Товары для мам и детей
сыр  моцарелла бутербродов,"Молоко, сыр, яйца"
"напиток ""полезное утро"" овсяный кисель слива","Молоко, сыр, яйца"
конфеты алёнка орешками,"Хлеб, сладости, снеки"
пленка ламинирования  бесцветная слоя мкм,Другое
вода минеральная природная питьевая   негазированная,"Воды, соки, напитки"
носки    ,Товары для дома и дачи
"пюре ""фрутоняня"" яблок",Товары для мам и детей
дезодорант  аромат дождя,"Красота, гигиена, бытовая химия"
колбаски пиву свиные охлажденные,"Птица, мясо, деликатесы"
сардельки натуральной оболочке,"Птица, мясо, деликатесы"
универс комнатный ений,Товары для дома и дачи
"погремушка  неваляшка ""мишка""",Товары для мам и детей
"набор творчества магнитик гипса ""кукла",Товары для мам и детей
чайник  стеклянный,Бытовая техника
колбаса мясной дом натуральными сливками,"Птица, мясо, деликатесы"
шампунь     регенерация,"Красота, гигиена, бытовая химия"
"соус томатный ""аджика домашняя""","Соусы, орехи, консервы"
пудра '   лица совершенное слияние ваниль,"Красота, гигиена, бытовая химия"
сок   персик яблоком,"Воды, соки, напитки"
приправа   мельница курицы стейка,"Соусы, орехи, консервы"
шапка банная шальная императрица войлок белая,Дача и гриль
масло бороды ,"Красота, гигиена, бытовая химия"
слойка малиной,"Хлеб, сладости, снеки"
пицца  специале,Замороженные продукты
кружка тренировочная  еш'ка полипропилен,Товары для мам и детей
соус лук сметаной,"Соусы, орехи, консервы"
бальзам ополаскиватель волос объем сила пшеница лен,"Красота, гигиена, бытовая химия"
суп томатный  чашка супа по итальянски сухариками,Подборки и готовые блюда
вино    мегобари алазанская долина красное полусладкое,Алкоголь
акварель медовая      европодвес пласткор кисти,Другое
чипсы   кукурузные кусочками оливок паприкой,"Соусы, орехи, консервы"
пюре абрикос детей месяцев,Товары для мам и детей
тетрадь панорама металлик физика клетку,Товары для мам и детей
крем суп   гороховый по голландски,Подборки и готовые блюда
"набор  ""баба яга",Товары для дома и дачи
туалетная бумага  аромаспа слоя рулонов,"Красота, гигиена, бытовая химия"
корм котят  кусочки курицей,Зоотовары
драже  рашн микс,"Хлеб, сладости, снеки"
вода минеральная газированная природная питьевая,"Воды, соки, напитки"
"кукла   корона милли ""уроки заботы""",Товары для мам и детей
нектар тонус  грейпфрут виноград,"Воды, соки, напитки"
ряженка рузская,"Молоко, сыр, яйца"
огурцы черри патиссоны,"Соусы, орехи, консервы"
котлета мяса индейки,"Птица, мясо, деликатесы"
мусс укладки волос     объем экстрасильная фиксация,"Красота, гигиена, бытовая химия"
крем краска  волос средне русый,"Красота, гигиена, бытовая химия"
сыр сулугуни хачапури,"Молоко, сыр, яйца"
майонез провансаль лимонным соком,"Молоко, сыр, яйца"
"напиток ""моя семья"" апельсина грейпфрута сокосодержащий","Воды, соки, напитки"
оливки  органик каламата без косточки,"Соусы, орехи, консервы"
гель душа  алоэ вера,"Красота, гигиена, бытовая химия"
хлопья   спельты органические,"Макароны, крупы, специи"
пирожные   птифур карамельно апельсиновой начинкой,"Хлеб, сладости, снеки"
макароны лапша,"Макароны, крупы, специи"
швабра  экстра пола,Товары для дома и дачи
коктейль    вкусом соленая карамель,"Молоко, сыр, яйца"
гель  душа талассо,"Красота, гигиена, бытовая химия"
леденцы без сахара сочный арбуз,"Хлеб, сладости, снеки"
салат средиземноморский микс,"Овощи, фрукты, ягоды"
"рецепт бабушка агафья гостинец агафья волос восстанавливать ""домашний сметанка","Красота, гигиена, бытовая химия"
шампунь гель волос тела  календулой,"Красота, гигиена, бытовая химия"
пюре яблоко персик сливки,Товары для мам и детей
кальмар  кольца панировке панко,"Рыба, икра"
чистящее средство унитаза  эксперт сила ультра,"Красота, гигиена, бытовая химия"
колбаса клин гост полиамиде,"Птица, мясо, деликатесы"
маска лица сияние увлажнение тканевая,"Красота, гигиена, бытовая химия"
шампунь волос    густоты,"Красота, гигиена, бытовая химия"
кисель порт клюквенный,"Воды, соки, напитки"
"шампунь   повреждённых волос ""масла карите арганы""","Красота, гигиена, бытовая химия"
гель энергия витамины розовый грейпфрут душа,"Красота, гигиена, бытовая химия"
каша   гречневая,"Соусы, орехи, консервы"
"""мозаика синтез"" чудесные наклейки ""что бывает синим",Товары для мам и детей
каша молочная пяти злаков обогащенная витаминами минералами,Товары для мам и детей
оливки зеленые   косточкой,"Соусы, орехи, консервы"
смесь  орехи цукаты,"Соусы, орехи, консервы"
прокладки ежедневные  тонкие дуо,"Красота, гигиена, бытовая химия"
тарелка  океан эклипс обеденная,Товары для дома и дачи
гель умывания нормальной комбинированной кожи,"Красота, гигиена, бытовая химия"
"фарш куриный ""премиум филе грудки"" охлажденный","Птица, мясо, деликатесы"
смесь овощная паприкаш быстрозамороженная,Замороженные продукты
блокнот  твердой обложке клетку листов,Другое
клей особопрочный,Товары для дома и дачи
дезодорант антиперспирант  невидимая черном белом,"Красота, гигиена, бытовая химия"
простыня   сатин,Товары для дома и дачи
йогурт   цитрус киноа,"Молоко, сыр, яйца"
шлифовка керамический педикюрный,"Красота, гигиена, бытовая химия"
мусс  волос аэрозольный нормальной фиксации маслом арганы,"Красота, гигиена, бытовая химия"
зубная паста   жаркая мята,"Красота, гигиена, бытовая химия"
говядина тушеная орловская,"Соусы, орехи, консервы"
рулет сдобная особа маковой начинкой,"Хлеб, сладости, снеки"
шампунь    бальзам ополаскиватель интенсивный уход дополнительный объем,"Красота, гигиена, бытовая химия"
"кофе """"   воримый сублимированный","Чай, кофе, сахар"
игрушка кошек  мышка мячом хвосте кошачьей мятой,Зоотовары
корм  взрослых собак маленьких пород отличное пищеварение,Зоотовары
колбаса столичная,"Птица, мясо, деликатесы"
полотенце махровое  мумбаи цвет малиновый плотность,Товары для дома и дачи
кукуруза сладкая тчн,"Овощи, фрукты, ягоды"
паста  томатная,"Соусы, орехи, консервы"
средство чистящее  анти плесень,"Красота, гигиена, бытовая химия"
печенье американское шоколадом,"Хлеб, сладости, снеки"
сухой корм собак   курица мелких пород,Зоотовары
чернослив,"Соусы, орехи, консервы"
освежитель воздуха    райские,"Красота, гигиена, бытовая химия"
чистящее средство унитаза  эксперт сила сила шторма,"Красота, гигиена, бытовая химия"
стиральный порошок эксперт цвет автомат цветного белья,Товары для дома и дачи
пена купания детская витаминная первых дней жизни,Товары для мам и детей
набор конфет  молочным шоколадом,"Хлеб, сладости, снеки"
"шампунь волос    ""объем восстановление""","Красота, гигиена, бытовая химия"
емкость  соуса кисточкой,Товары для дома и дачи
грудинка,"Птица, мясо, деликатесы"
сухой корм кошек    индейка курица,Зоотовары
халва дружба,"Хлеб, сладости, снеки"
вода  кокосовая соком личи,"Воды, соки, напитки"
"""росмэн"" кошка детский энциклопедия",Товары для мам и детей
творог сам клубника ваниль,Товары для мам и детей
пятновыводитель   крови белковых пятен,"Красота, гигиена, бытовая химия"
скумбрия атлантическая овощным гарниром,"Рыба, икра"
торт  миндальный дайм,"Хлеб, сладости, снеки"
корм кошек   ягненок брусника,Зоотовары
шампунь  кокосовым кремом кератином увлажнение питание,"Красота, гигиена, бытовая химия"
торт черносливом оригинальный песочный,"Хлеб, сладости, снеки"
грунт пальма,Товары для дома и дачи
йогурт история игрушек клубника,"Молоко, сыр, яйца"
вареники вишней ручная работа,Замороженные продукты
крекер  вкусом копченые колбаски,"Хлеб, сладости, снеки"
шампунь    дополнительный объем,"Красота, гигиена, бытовая химия"
кофе молотый   натуральный жаренный ароматизированный шоколад,"Чай, кофе, сахар"
освежитель воздуха     голубая лагуна смен баллон,"Красота, гигиена, бытовая химия"
творог хуторок,"Молоко, сыр, яйца"
салат  хумус,Подборки и готовые блюда
нектар тонус апельсиновый экстрактом ацеы обогащенный мякотью,"Воды, соки, напитки"
"соус люблю готовить"" итальянский букет вяленые томаты","Соусы, орехи, консервы"
"шоколад ""победа вкуса""  пористый","Хлеб, сладости, снеки"
"овощи """" лососем по итальянски томатном соусе","Рыба, икра"
зубная паста  земляника школьников лет,"Красота, гигиена, бытовая химия"
чай черный петух,"Чай, кофе, сахар"
"сыр ""легкий""","Молоко, сыр, яйца"
шампунь  здоровый баланс жирных корней сухих кончиках волос,"Красота, гигиена, бытовая химия"
приправа   морепродуктов,"Макароны, крупы, специи"
"набор конфет  марципана ""пралине конфизери""","Хлеб, сладости, снеки"
торт  лесная ягода мини замороженный,Замороженные продукты
чай черный пакетиках,"Чай, кофе, сахар"
кондиционер  красным корейским женьшенем,"Красота, гигиена, бытовая химия"
полотенце махровое   зеленое,Товары для дома и дачи
крем лица  малина тонизирующий,"Красота, гигиена, бытовая химия"
крышка  ручкой,Товары для дома и дачи
кофе жареный зернах   темнообжаренный,"Чай, кофе, сахар"
сахарница коралл ,Товары для дома и дачи
творог ино нежный обезжиренный,"Молоко, сыр, яйца"
ирис молочной начинкой молока потолка,"Хлеб, сладости, снеки"
крем   пре макияж сухой чувствительной кожи дневной,"Красота, гигиена, бытовая химия"
"""мозаика синтез"" ""лесной школа"" слон наш чемпион",Товары для мам и детей
жевательная резинка мята без сахара,"Хлеб, сладости, снеки"
сосиски сливочные орье по орски мгм,"Птица, мясо, деликатесы"
чай  стиках,"Чай, кофе, сахар"
мороженое пломбир брусничным джемом,Замороженные продукты
сок    органических прямого отжима очищенной водой месяцев,Товары для мам и детей
чечевица красная колотая,"Макароны, крупы, специи"
книга найди раскрась животные,Товары для мам и детей
зубная паста при кровоточивости десен,"Красота, гигиена, бытовая химия"
печенье    сливочное,"Хлеб, сладости, снеки"
вода  минеральная питьевая,"Воды, соки, напитки"
корм    кошек при мочекаменной болезни курицей,Зоотовары
губка   жесткая,"Красота, гигиена, бытовая химия"
чистящее средство  универсальное свежесть атлантики,Товары для дома и дачи
конфеты  миндальным орехом,"Хлеб, сладости, снеки"
конфеты  орехово фруктовые арахис шоколад,"Хлеб, сладости, снеки"
краска  универсальная металлик золото,Товары для дома и дачи
"смесь молочная сухая  гипоаллергенный """" питания детей месяцев",Товары для мам и детей
гель стирки    детского белья,Товары для дома и дачи
печенье    шоколаде,"Хлеб, сладости, снеки"
соус чим чим   шрирача тайский,"Соусы, орехи, консервы"
бальзам волос    слияние природой,"Красота, гигиена, бытовая химия"
масло  гавайское быстрого загара бета каротином маслом,"Красота, гигиена, бытовая химия"
капуста  васаби,"Соусы, орехи, консервы"
"напиток """"  чай вкус лимона чай","Воды, соки, напитки"
жидкость  мытья посуды  экологическая,"Красота, гигиена, бытовая химия"
драже   кешью шоколадной глазури,"Хлеб, сладости, снеки"
торт персидская ночь,"Хлеб, сладости, снеки"
лакомство  собак шеи куриные,Зоотовары
конфеты цитрончик глазированные,"Хлеб, сладости, снеки"
мыло  зеленое натуральное таежное бани тела волос,"Красота, гигиена, бытовая химия"
зубная щетка   ,"Красота, гигиена, бытовая химия"
дезодорант  минералами без солей алюминия часов,"Красота, гигиена, бытовая химия"
клей гель прозрачный универсальный,Товары для дома и дачи
"шампунь волос  кокосовой водой ""невесомое увлажнение""","Красота, гигиена, бытовая химия"
салфетка  брайт махровая,Товары для дома и дачи
чай букет черный байховый,"Чай, кофе, сахар"
лакомство кошек мясные колбаски ягненка,Зоотовары
мыло туалетное экстрактом зверобоя,"Красота, гигиена, бытовая химия"
бальзам губ ,"Красота, гигиена, бытовая химия"
кпб зимний сказка подарок,Товары для дома и дачи
мука хлебопекарная,"Соусы, орехи, консервы"
колбаса гост белковой оболочке,"Птица, мясо, деликатесы"
"десерт  соевый йогуртный ""красный апельсин""","Молоко, сыр, яйца"
обувь домашняя   мужская цвет коричневый размер,Товары для дома и дачи
творог клубника банан печеньем,"Молоко, сыр, яйца"
ковш холпитьевой воды пластк,Другое
подставка   под горячее бамбука квадратная,Товары для дома и дачи
"крем рук  аевит питательный ""черная смородина уголь""","Красота, гигиена, бытовая химия"
мыло  жидкое антибактериальное ароматом грейпфрута запасной блок диспенсера,"Красота, гигиена, бытовая химия"
шампунь   окрашенных повреждённых волос защита блеск,"Красота, гигиена, бытовая химия"
"горбуша "" "" стейки мороженная","Рыба, икра"
соус  сливочно чесночный,"Соусы, орехи, консервы"
десерт топленое молоко вафельно сахарном рожке,"Молоко, сыр, яйца"
крем гель душа  мандарин цветок тиаре,"Красота, гигиена, бытовая химия"
крем лица   сияние энергия кожи,"Красота, гигиена, бытовая химия"
вода минеральная природ,"Воды, соки, напитки"
печенье  три шоколада,"Хлеб, сладости, снеки"
монтажная лента   двухсторонняя прозрачных поверхностей,Товары для дома и дачи
"колбаса ""сервелат ореховый"" варено копченая","Птица, мясо, деликатесы"
тарелка   круглая сланца,Товары для дома и дачи
крем лица  антивозной уход интенсивное омоложение ночной,"Красота, гигиена, бытовая химия"
творог сам фруктовый малина банан печенье,Товары для мам и детей
сыр  порций,"Молоко, сыр, яйца"
напиток саперави,"Воды, соки, напитки"
кашка молочно овсяная детей месяцев,Товары для мам и детей
"шампунь   ""жидкий шелк"" непослушных тусклых волос","Красота, гигиена, бытовая химия"
набор ковриков ванной туалета вспененного пвх,"Красота, гигиена, бытовая химия"
"крем восстанавливающий рук ногтей   ""черничный мусс""","Красота, гигиена, бытовая химия"
лакомство птиц  крекеры кальций мед волнистых попугаев птенцов,Зоотовары
доска  пробковая,Другое
кофе    воримый пакет,"Чай, кофе, сахар"
сайра копченая,"Рыба, икра"
"зубная паста   ""земляничный десерт"" кальцием",Товары для мам и детей
краска волос    карамель,"Красота, гигиена, бытовая химия"
зубная паста    мятная,"Красота, гигиена, бытовая химия"
приправа орегано,"Макароны, крупы, специи"
жидкое средство стирки  горный родник,"Красота, гигиена, бытовая химия"
туалетная бумага deluxе,"Красота, гигиена, бытовая химия"
мороженое вкусландия пломбир кленовым сиропом грецким орехом,Замороженные продукты
корм кошек    персидской породы возе  го года  ти лет,Зоотовары
хлебцы  полезный перекус льняные медом,"Хлеб, сладости, снеки"
